,final_legend,export_group,hersteller,modell,geometrie,nennstrom,technologie,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,Preis (€),volumen
69,"Redur 13A1030.3ffp | 2000 A | 8,1 Ω | Parallel",mes_2000A_buerde,Redur,13A1030.3ffp,Parallel,2000,"Referenzlast 8,1 Ω",L1,"0,38","0,06",,,,"-0,08","-0,1","146,01","778,73"
70,"Redur 13A1030.3ffp | 2000 A | 8,1 Ω | Parallel",mes_2000A_buerde,Redur,13A1030.3ffp,Parallel,2000,"Referenzlast 8,1 Ω",L2,"0,45","0,11",,,,"-0,03","-0,51","146,01","778,73"
71,"Redur 13A1030.3ffp | 2000 A | 8,1 Ω | Parallel",mes_2000A_buerde,Redur,13A1030.3ffp,Parallel,2000,"Referenzlast 8,1 Ω",L3,"0,41","0,15",,,,"0,02","-0,01","146,01","778,73"
72,Redur 2025 12 05 1057-Redur-13A1030.3ffp-2000A-0R0 | PAC2 | Parallel (2000A),mes_2000A_buerde,Redur,13A1030.3ffp,Parallel,2000,"Minimallast 0,0 Ω",L1,"0,66","0,16",,,,"-0,01","-0,02","146,01","778,73"
73,Redur 2025 12 05 1057-Redur-13A1030.3ffp-2000A-0R0 | PAC2 | Parallel (2000A),mes_2000A_buerde,Redur,13A1030.3ffp,Parallel,2000,"Minimallast 0,0 Ω",L2,"0,67","0,27",,,,"0,06","0,04","146,01","778,73"
74,Redur 2025 12 05 1057-Redur-13A1030.3ffp-2000A-0R0 | PAC2 | Parallel (2000A),mes_2000A_buerde,Redur,13A1030.3ffp,Parallel,2000,"Minimallast 0,0 Ω",L3,"0,63","0,26",,,,"0,09","0,07","146,01","778,73"
75,"Redur 13A1030.3ffp | 2000 A | 8,1 Ω | Dreieck",mes_2000A_buerde,Redur,13A1030.3ffp,Dreieck,2000,"Referenzlast 8,1 Ω",L1,"0,47","0,02",,,,"-0,12","-0,12","146,01","778,73"
76,"Redur 13A1030.3ffp | 2000 A | 8,1 Ω | Dreieck",mes_2000A_buerde,Redur,13A1030.3ffp,Dreieck,2000,"Referenzlast 8,1 Ω",L2,"0,34","0,09",,,,"-0,09","-1,53","146,01","778,73"
77,"Redur 13A1030.3ffp | 2000 A | 8,1 Ω | Dreieck",mes_2000A_buerde,Redur,13A1030.3ffp,Dreieck,2000,"Referenzlast 8,1 Ω",L3,"0,47","0,11",,,,"0,13","-0,07","146,01","778,73"
78,Redur 2025 12 08 1305-Redur-13A1030.3ffp-2000A-0R0 | PAC2 | Dreieck (2000A),mes_2000A_buerde,Redur,13A1030.3ffp,Dreieck,2000,"Minimallast 0,0 Ω",L1,"0,39","0,12",,,,"-0,03","-0,04","146,01","778,73"
79,Redur 2025 12 08 1305-Redur-13A1030.3ffp-2000A-0R0 | PAC2 | Dreieck (2000A),mes_2000A_buerde,Redur,13A1030.3ffp,Dreieck,2000,"Minimallast 0,0 Ω",L2,"0,51","0,19",,,,"0,03","-0,27","146,01","778,73"
80,Redur 2025 12 08 1305-Redur-13A1030.3ffp-2000A-0R0 | PAC2 | Dreieck (2000A),mes_2000A_buerde,Redur,13A1030.3ffp,Dreieck,2000,"Minimallast 0,0 Ω",L3,"0,69","0,22",,,,"0,1","0,08","146,01","778,73"
81,"K-3 | Celsa ICG 6000/5 Kl. 0,2S",mes_messstrecke_alt,3-K Elektrik,DMI30 05-V01,Referenz,4000,Messumformer,L1,"-0,2","-0,3","0,63","0,62","0,67","0,64","0,69",1,1
82,"K-3 | Celsa ICG 6000/5 Kl. 0,2S",mes_messstrecke_alt,3-K Elektrik,DMI30 05-V01,Referenz,4000,Messumformer,L2,"-4,4","-1,54","-0,43","-0,27","-0,19","-0,19","-0,11",1,1
83,"K-3 | Celsa ICG 6000/5 Kl. 0,2S",mes_messstrecke_alt,3-K Elektrik,DMI30 05-V01,Referenz,4000,Messumformer,L3,"-6,67","-2,68","-0,81","-0,44","-0,35","-0,31","-0,25",1,1
84,"Rogowski-Spulen | Kl. 0,2",mes_messstrecke_alt,MBS,FASK-100,Referenz,4000,Rogowskispule,L1,"-2,64","-0,88","-0,86","-0,87","-0,82","-0,82","-0,8",1,1
85,"Rogowski-Spulen | Kl. 0,2",mes_messstrecke_alt,MBS,FASK-100,Referenz,4000,Rogowskispule,L2,"2,95","1,97","1,24","1,13","1,02","1,77","5,23",1,1
86,"Rogowski-Spulen | Kl. 0,2",mes_messstrecke_alt,MBS,FASK-100,Referenz,4000,Rogowskispule,L3,"-2,64","-0,88","-0,86","-0,87","-0,82","-0,82","-0,8",1,1
87,"K-3 | Celsa ICG 6000/5 Kl. 0,2S",mes_messstrecke_neu,3-K Elektrik,DMI30 05-V01,Referenz,4000,Messumformer,L1,"-0,2","-0,3","0,63","0,62","0,67","0,64","0,69",1,1
88,"K-3 | Celsa ICG 6000/5 Kl. 0,2S",mes_messstrecke_neu,3-K Elektrik,DMI30 05-V01,Referenz,4000,Messumformer,L2,"-4,4","-1,54","-0,43","-0,27","-0,19","-0,19","-0,11",1,1
89,"K-3 | Celsa ICG 6000/5 Kl. 0,2S",mes_messstrecke_neu,3-K Elektrik,DMI30 05-V01,Referenz,4000,Messumformer,L3,"-6,67","-2,68","-0,81","-0,44","-0,35","-0,31","-0,25",1,1
90,"PAC 4220 | Celsa ICG 6000/5 Kl. 0,2S",mes_messstrecke_neu,Siemens,PAC 4220,Referenz,4000,Energiemessgerät,L1,"0,27","0,16","0,04","-0,03","0,01","-0,02","-0,01",1,1
91,"PAC 4220 | Celsa ICG 6000/5 Kl. 0,2S",mes_messstrecke_neu,Siemens,PAC 4220,Referenz,4000,Energiemessgerät,L2,"-0,84","0,06",0,"-0,02","0,04","0,01","0,05",1,1
