final_legend,hersteller,modell,geometrie,nennstrom,technologie,Preis (€),flags,export_group,volumen,5% In_L1,5% In_L2,5% In_L3,20% In_L1,20% In_L2,20% In_L3,50% In_L1,50% In_L2,50% In_L3,80% In_L1,80% In_L2,80% In_L3,90% In_L1,90% In_L2,90% In_L3,100% In_L1,100% In_L2,100% In_L3,120% In_L1,120% In_L2,120% In_L3,Nieder_L1,Nieder_L2,Nieder_L3,Nenn_L1,Nenn_L2,Nenn_L3,Ueber_L1,Ueber_L2,Ueber_L3,Nieder_Ges,Nenn_Ges,Ueber_Ges,Gesamtfehler,Verbesserung Dreick
Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0  | Dreieck,Celsa,ALO 12070,Dreieck,4000,Standard,"71,51",,mes_4000A,1520,"0,25","0,15","0,08","-0,04","-0,09","-0,11","-0,12","-0,13","-0,17","-0,14","-0,15","-0,19","-0,16","-0,14","-0,21","-0,23","-0,15","-0,3","-1,49","0,29","-1,71","0,03","-0,02","-0,07","-0,18","-0,15","-0,23","-1,49","0,29","-1,71","0,04","0,19","1,16","0,46","70,88"
Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0  | Parallel,Celsa,ALO 12070 K,Parallel,4000,Kompensiert,"401,91",,mes_4000A,1520,"0,33","0,11","0,21","0,09","-0,11","0,03","0,04","-0,17","-0,04","0,04","-0,17","-0,06","0,04","-0,18","-0,06","0,06","-0,2","-0,05","0,04","-0,58","-0,03","0,15","-0,06","0,07","0,05","-0,18","-0,06","0,04","-0,58","-0,03","0,09","0,1","0,22","0,13",
Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,Celsa,ALO 12070 K,Dreieck,4000,Kompensiert,"401,91",,mes_4000A,1520,"0,42","0,11","0,27","0,12","-0,07","0,04","0,05","-0,16","-0,03","0,04","-0,19","-0,07","0,04","-0,19","-0,07","0,06","-0,2","-0,07","0,08","-0,65","-0,06","0,2","-0,04","0,09","0,05","-0,19","-0,07","0,08","-0,65","-0,06","0,11","0,1","0,26","0,16","-933,8"
Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0  | Parallel,Celsa,ALO 12070,Parallel,4000,Standard,"71,51",,mes_4000A_x,1520,"0,218","0,139","0,107","-0,034","-0,068","-0,122","-0,117","-0,123","-0,163","-0,142","-0,945","-0,201","-0,196","-2,027","-0,361","-0,698","-3,283","-1,218","-3,206","-5,861","-3,835","0,02","-0,02","-0,06","-0,35","-2,09","-0,59","-3,21","-5,86","-3,84","0,03","1,01","4,3","1,78","73,94"
Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0  | Dreieck,Celsa,ALO 12070,Dreieck,4000,Standard,"71,51",,mes_4000A_x,1520,"0,248","0,146","0,075","-0,044","-0,094","-0,109","-0,117","-0,132","-0,174","-0,143","-0,149","-0,19","-0,159","-0,143","-0,208","-0,227","-0,151","-0,302","-1,489","0,291","-1,713","0,03","-0,03","-0,07","-0,18","-0,15","-0,23","-1,49","0,29","-1,71","0,04","0,19","1,16","0,46",
Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0  | Parallel,Celsa,ALO 12070 K,Parallel,4000,Kompensiert,"401,91",,mes_4000A_x,1520,"0,326","0,113","0,214","0,089","-0,114","0,026","0,041","-0,167","-0,041","0,044","-0,17","-0,064","0,044","-0,175","-0,063","0,062","-0,198","-0,054","0,039","-0,582","-0,031","0,15","-0,06","0,07","0,05","-0,18","-0,06","0,04","-0,58","-0,03","0,09","0,1","0,22","0,14","-16,67"
Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,Celsa,ALO 12070 K,Dreieck,4000,Kompensiert,"401,91",,mes_4000A_x,1520,"0,424","0,111","0,273","0,117","-0,068","0,039","0,05","-0,155","-0,033","0,041","-0,185","-0,07","0,039","-0,189","-0,065","0,057","-0,203","-0,067","0,076","-0,651","-0,061","0,2","-0,04","0,09","0,05","-0,19","-0,07","0,08","-0,65","-0,06","0,11","0,1","0,26","0,16",
Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0  | Parallel,Celsa,ALO 12070,Parallel,3000,Standard,"71,51",,mes_gesamt,1520,"0,08","0,17","0,3","-0,13","-0,04","0,05","-0,22","-0,13","-0,05","-0,28","-0,6","-0,09","-0,32","-1,42","-0,1","-0,4","-2,54","-0,12","-1,86","-5,11","-0,43","-0,09",0,"0,1","-0,33","-1,52","-0,1","-1,86","-5,11","-0,43","0,06","0,65","2,47","1,06",
"K-3 | Celsa ICG 6000/5 Kl. 0,2S",3-K Elektrik,DMI30 05-V01,Referenz,4000,Messumformer,1,,mes_messstrecke_alt,1,"-0,2","-4,4","-6,67","-0,3","-1,54","-2,68","0,63","-0,43","-0,81","0,62","-0,27","-0,44","0,67","-0,19","-0,35","0,64","-0,19","-0,31","0,69","-0,11","-0,25","0,04","-2,12","-3,39","0,64","-0,22","-0,37","0,69","-0,11","-0,25","1,85","0,41","0,35","0,87","-104,77"
"Rogowski-Spulen | Kl. 0,2",MBS,FASK-100,Referenz,4000,Rogowskispule,1,,mes_messstrecke_alt,1,"-2,64","2,95","-2,64","-0,88","1,97","-0,88","-0,86","1,24","-0,86","-0,87","1,13","-0,87","-0,82","1,02","-0,82","-0,82","1,77","-0,82","-0,8","5,23","-0,8","-1,46","2,05","-1,46","-0,84","1,31","-0,84","-0,8","5,23","-0,8","1,66","0,99","2,28","1,64",
"PAC 4220 | Celsa ICG 6000/5 Kl. 0,2S",Siemens,PAC 4220,Referenz,4000,Energiemessgerät,1,,mes_messstrecke_neu,1,"0,27","-0,84","0,84","0,16","0,06","0,06","0,04",0,"-0,03","-0,03","-0,02","-0,02","0,01","0,04","0,01","-0,02","0,01","0,02","-0,01","0,05","-0,01","0,16","-0,26","0,29","-0,01","0,01",0,"-0,01","0,05","-0,01","0,24","0,01","0,02","0,09",100
"K-3 | Celsa ICG 6000/5 Kl. 0,2S",3-K Elektrik,DMI30 05-V01,Referenz,4000,Messumformer,1,,mes_messstrecke_neu,1,"-0,2","-4,4","-6,67","-0,3","-1,54","-2,68","0,63","-0,43","-0,81","0,62","-0,27","-0,44","0,67","-0,19","-0,35","0,64","-0,19","-0,31","0,69","-0,11","-0,25","0,04","-2,12","-3,39","0,64","-0,22","-0,37","0,69","-0,11","-0,25","1,85","0,41","0,35","0,87","-104,77"
